run_name,loss,pos_weight,focal_alpha,best_val_iou,best_val_f1,best_epoch,epochs_run,train_seconds
bce_pw1,bce,1.0,,0.4748736321926117,0.6439515948295593,0,9,240.8
bce_pw4,bce,4.0,,0.5987849831581116,0.7490500211715698,5,14,389.0
bce_pw8.4,bce,8.4,,0.5525340437889099,0.7117835283279419,5,14,419.1
bce_pw13,bce,13.0,,0.5106756687164307,0.6760891079902649,7,16,407.4
dice,dice,,,0.6425264477729797,0.7823635935783386,17,26,747.9
focal_a0.25,focal,,0.25,0.5428186655044556,0.703671395778656,12,21,506.7
dice_bce_pw8.4,dice_bce,8.4,,0.6066030859947205,0.7551374435424805,18,27,752.1
